Game,Year,Console
Mini Mario & Friends: amiibo Challenge,2016,Wii U / Nintendo 3DS
Mario Party Challenge World,2016,Arcade
Minecraft: New Nintendo 3DS Edition,2017,New Nintendo 3DS
Super Mario Odyssey,2017,Nintendo Switch
Mario & Luigi: Superstar Saga + Bowser's Minions,2017,Nintendo 3DS
Mario Party: The Top 100,2017,Nintendo 3DS
Mario + Rabbids Kingdom Battle,2017,Nintendo Switch
Mario Sports Superstars,2017,Nintendo 3DS
Minecraft: Nintendo Switch Edition,2017,Nintendo Switch
Mario Kart 8 Deluxe,2017,Nintendo Switch
Super Mario Run,2017,Android
Poochy & Yoshi's Woolly World,2017,Nintendo 3DS
Mario Kart Arcade GP VR,2017,Arcade
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,2018,Nintendo 3DS
Luigi's Mansion,2018,Nintendo 3DS
Super Mario Party,2018,Nintendo Switch
WarioWare Gold,2018,Nintendo 3DS
Super Smash Bros. Ultimate,2018,Nintendo Switch
Mario Tennis Aces,2018,Nintendo Switch
Minecraft: Bedrock Edition,2018,Nintendo Switch
Donkey Kong Country: Tropical Freeze,2018,Nintendo Switch
Captain Toad: Treasure Tracker,2018,Nintendo Switch / Nintendo 3DS
New Super Mario Bros. U Deluxe,2019,Nintendo Switch
Tetris 99,2019,Nintendo Switch
Yoshi's Crafted World,2019,Nintendo Switch
Super Mario Maker 2,2019,Nintendo Switch
Dr. Mario World,2019,iOS/Android
Mario Kart Tour,2019,iOS/Android
Luigi's Mansion 3,2019,Nintendo Switch
Mario & Sonic at the Olympic Games Tokyo 2020,2019,Nintendo Switch
Game & Watch: Super Mario Bros.,2020,Game & Watch
Mario Kart Live: Home Circuit,2020,Nintendo Switch
Super Mario Bros. 35,2020,Nintendo Switch
Paper Mario: The Origami King,2020,Nintendo Switch
Mario & Sonic at the Olympic Games Tokyo 2020 - Arcade Edition,2020,Arcade
Super Mario 3D All-Stars,2020,Nintendo Switch
Super Mario 3D World + Bowser's Fury,2021,Nintendo Switch
Mario Golf: Super Rush,2021,Nintendo Switch
WarioWare: Get It Together!,2021,Nintendo Switch
Mario Party Superstars,2021,Nintendo Switch
Mario Strikers: Battle League,2022,Nintendo Switch
Mario + Rabbids Sparks of Hope,2022,Nintendo Switch
WarioWare: Move It!,2023,Nintendo Switch
Super Mario RPG,2023,Nintendo Switch
Super Mario Bros. Wonder,2023,Nintendo Switch
LEGO Super Mario Goal,2024,Sky Italia
Mario vs. Donkey Kong,2024,Nintendo Switch
Princess Peach: Showtime!,2024,Nintendo Switch
Paper Mario: The Thousand-Year Door,2024,Nintendo Switch
Luigi's Mansion 2 HD,2024,Nintendo Switch
Nintendo World Championships: NES Edition,2024,Nintendo Switch
Super Mario Party Jamboree,2024,Nintendo Switch
Mario & Luigi: Brothership,2024,Nintendo Switch
Mario Kart World,2025,Nintendo Switch 2
Donkey Kong Country Returns HD,2025,Nintendo Switch
Donkey Kong Bananza,2025,Nintendo Switch 2
